"stand_id";"species";"count";"height_from";"height_to";"age";"min_lif"
215;"PicS";426.5;0.654;0.854;11;0
215;"PicS";426.5;0.911;1.111;11;0
215;"PicS";426.5;0.48;0.68;11;0
215;"PicS";426.5;0.223;0.423;11;0
215;"PicS";426.5;0.3;0.5;11;0
215;"PicS";426.5;0.274;0.474;11;0
215;"PicS";426.5;0.535;0.735;11;0
215;"PicS";426.5;0.09;0.29;11;0
216;"PicS";426.5;0.168;0.368;11;0
216;"PicS";426.5;0.34;0.54;11;0
216;"PicS";426.5;0.313;0.513;11;0
216;"PicS";426.5;0.331;0.531;11;0
216;"PicS";426.5;0.19;0.39;11;0
216;"PicS";426.5;1.086;1.286;11;0
216;"PicS";426.5;0.734;0.934;11;0
216;"PicS";426.5;0.521;0.721;11;0
216;"PicS";426.5;0.69;0.89;11;0
216;"PicS";426.5;0.314;0.514;11;0
216;"PicS";426.5;0.419;0.619;11;0
216;"PicS";426.5;0.425;0.625;11;0
216;"PicS";426.5;0.667;0.867;11;0
216;"PicS";426.5;0.336;0.536;11;0
216;"PicS";426.5;0.572;0.772;11;0
216;"PicS";426.5;0.565;0.765;11;0
216;"PicS";426.5;0.504;0.704;11;0
216;"PicS";426.5;0.654;0.854;11;0
216;"PicS";426.5;0.911;1.111;11;0
216;"PicS";426.5;0.48;0.68;11;0
216;"PicS";426.5;0.223;0.423;11;0
216;"PicS";426.5;0.3;0.5;11;0
216;"PicS";426.5;0.274;0.474;11;0
216;"PicS";426.5;0.535;0.735;11;0
216;"PicS";426.5;0.09;0.29;11;0
217;"PicS";426.5;0.168;0.368;11;0
217;"PicS";426.5;0.34;0.54;11;0
217;"PicS";426.5;0.313;0.513;11;0
217;"PicS";426.5;0.331;0.531;11;0
217;"PicS";426.5;0.19;0.39;11;0
217;"PicS";426.5;1.086;1.286;11;0
217;"PicS";426.5;0.734;0.934;11;0
217;"PicS";426.5;0.521;0.721;11;0
217;"PicS";426.5;0.69;0.89;11;0
217;"PicS";426.5;0.314;0.514;11;0
217;"PicS";426.5;0.419;0.619;11;0
217;"PicS";426.5;0.425;0.625;11;0
217;"PicS";426.5;0.667;0.867;11;0
217;"PicS";426.5;0.336;0.536;11;0
217;"PicS";426.5;0.572;0.772;11;0
217;"PicS";426.5;0.565;0.765;11;0
217;"PicS";426.5;0.504;0.704;11;0
217;"PicS";426.5;0.654;0.854;11;0
217;"PicS";426.5;0.911;1.111;11;0
217;"PicS";426.5;0.48;0.68;11;0
217;"PicS";426.5;0.223;0.423;11;0
217;"PicS";426.5;0.3;0.5;11;0
217;"PicS";426.5;0.274;0.474;11;0
217;"PicS";426.5;0.535;0.735;11;0
217;"PicS";426.5;0.09;0.29;11;0
218;"PicS";426.5;0.168;0.368;11;0
218;"PicS";426.5;0.34;0.54;11;0
218;"PicS";426.5;0.313;0.513;11;0
218;"PicS";426.5;0.331;0.531;11;0
218;"PicS";426.5;0.19;0.39;11;0
218;"PicS";426.5;1.086;1.286;11;0
218;"PicS";426.5;0.734;0.934;11;0
218;"PicS";426.5;0.521;0.721;11;0
218;"PicS";426.5;0.69;0.89;11;0
218;"PicS";426.5;0.314;0.514;11;0
218;"PicS";426.5;0.419;0.619;11;0
218;"PicS";426.5;0.425;0.625;11;0
218;"PicS";426.5;0.667;0.867;11;0
218;"PicS";426.5;0.336;0.536;11;0
218;"PicS";426.5;0.572;0.772;11;0
218;"PicS";426.5;0.565;0.765;11;0
218;"PicS";426.5;0.504;0.704;11;0
218;"PicS";426.5;0.654;0.854;11;0
218;"PicS";426.5;0.911;1.111;11;0
218;"PicS";426.5;0.48;0.68;11;0
218;"PicS";426.5;0.223;0.423;11;0
218;"PicS";426.5;0.3;0.5;11;0
218;"PicS";426.5;0.274;0.474;11;0
218;"PicS";426.5;0.535;0.735;11;0
218;"PicS";426.5;0.09;0.29;11;0
219;"PicS";426.5;0.168;0.368;11;0
219;"PicS";426.5;0.34;0.54;11;0
219;"PicS";426.5;0.313;0.513;11;0
219;"PicS";426.5;0.331;0.531;11;0
219;"PicS";426.5;0.19;0.39;11;0
219;"PicS";426.5;1.086;1.286;11;0
219;"PicS";426.5;0.734;0.934;11;0
219;"PicS";426.5;0.521;0.721;11;0
219;"PicS";426.5;0.69;0.89;11;0
219;"PicS";426.5;0.314;0.514;11;0
219;"PicS";426.5;0.419;0.619;11;0
219;"PicS";426.5;0.425;0.625;11;0
219;"PicS";426.5;0.667;0.867;11;0
219;"PicS";426.5;0.336;0.536;11;0
219;"PicS";426.5;0.572;0.772;11;0
219;"PicS";426.5;0.565;0.765;11;0
219;"PicS";426.5;0.504;0.704;11;0
219;"PicS";426.5;0.654;0.854;11;0
219;"PicS";426.5;0.911;1.111;11;0
219;"PicS";426.5;0.48;0.68;11;0
219;"PicS";426.5;0.223;0.423;11;0
219;"PicS";426.5;0.3;0.5;11;0
219;"PicS";426.5;0.274;0.474;11;0
219;"PicS";426.5;0.535;0.735;11;0
219;"PicS";426.5;0.09;0.29;11;0
220;"PicS";426.5;0.168;0.368;11;0
220;"PicS";426.5;0.34;0.54;11;0
220;"PicS";426.5;0.313;0.513;11;0
220;"PicS";426.5;0.331;0.531;11;0
220;"PicS";426.5;0.19;0.39;11;0
220;"PicS";426.5;1.086;1.286;11;0
220;"PicS";426.5;0.734;0.934;11;0
220;"PicS";426.5;0.521;0.721;11;0
220;"PicS";426.5;0.69;0.89;11;0
220;"PicS";426.5;0.314;0.514;11;0
220;"PicS";426.5;0.419;0.619;11;0
220;"PicS";426.5;0.425;0.625;11;0
220;"PicS";426.5;0.667;0.867;11;0
220;"PicS";426.5;0.336;0.536;11;0
220;"PicS";426.5;0.572;0.772;11;0
220;"PicS";426.5;0.565;0.765;11;0
220;"PicS";426.5;0.504;0.704;11;0
220;"PicS";426.5;0.654;0.854;11;0
220;"PicS";426.5;0.911;1.111;11;0
220;"PicS";426.5;0.48;0.68;11;0
220;"PicS";426.5;0.223;0.423;11;0
220;"PicS";426.5;0.3;0.5;11;0
220;"PicS";426.5;0.274;0.474;11;0
220;"PicS";426.5;0.535;0.735;11;0
220;"PicS";426.5;0.09;0.29;11;0
221;"PicS";426.5;0.168;0.368;11;0
221;"PicS";426.5;0.34;0.54;11;0
221;"PicS";426.5;0.313;0.513;11;0
221;"PicS";426.5;0.331;0.531;11;0
221;"PicS";426.5;0.19;0.39;11;0
221;"PicS";426.5;1.086;1.286;11;0
221;"PicS";426.5;0.734;0.934;11;0
221;"PicS";426.5;0.521;0.721;11;0
221;"PicS";426.5;0.69;0.89;11;0
221;"PicS";426.5;0.314;0.514;11;0
221;"PicS";426.5;0.419;0.619;11;0
221;"PicS";426.5;0.425;0.625;11;0
221;"PicS";426.5;0.667;0.867;11;0
221;"PicS";426.5;0.336;0.536;11;0
221;"PicS";426.5;0.572;0.772;11;0
221;"PicS";426.5;0.565;0.765;11;0
221;"PicS";426.5;0.504;0.704;11;0
221;"PicS";426.5;0.654;0.854;11;0
221;"PicS";426.5;0.911;1.111;11;0
221;"PicS";426.5;0.48;0.68;11;0
221;"PicS";426.5;0.223;0.423;11;0
221;"PicS";426.5;0.3;0.5;11;0
221;"PicS";426.5;0.274;0.474;11;0
221;"PicS";426.5;0.535;0.735;11;0
221;"PicS";426.5;0.09;0.29;11;0
222;"PicS";426.5;0.168;0.368;11;0
222;"PicS";426.5;0.34;0.54;11;0
222;"PicS";426.5;0.313;0.513;11;0
222;"PicS";426.5;0.331;0.531;11;0
222;"PicS";426.5;0.19;0.39;11;0
222;"PicS";426.5;1.086;1.286;11;0
222;"PicS";426.5;0.734;0.934;11;0
222;"PicS";426.5;0.521;0.721;11;0
222;"PicS";426.5;0.69;0.89;11;0
222;"PicS";426.5;0.314;0.514;11;0
222;"PicS";426.5;0.419;0.619;11;0
222;"PicS";426.5;0.425;0.625;11;0
222;"PicS";426.5;0.667;0.867;11;0
222;"PicS";426.5;0.336;0.536;11;0
222;"PicS";426.5;0.572;0.772;11;0
222;"PicS";426.5;0.565;0.765;11;0
222;"PicS";426.5;0.504;0.704;11;0
222;"PicS";426.5;0.654;0.854;11;0
222;"PicS";426.5;0.911;1.111;11;0
222;"PicS";426.5;0.48;0.68;11;0
222;"PicS";426.5;0.223;0.423;11;0
222;"PicS";426.5;0.3;0.5;11;0
222;"PicS";426.5;0.274;0.474;11;0
222;"PicS";426.5;0.535;0.735;11;0
222;"PicS";426.5;0.09;0.29;11;0
223;"PicS";426.5;0.168;0.368;11;0
223;"PicS";426.5;0.34;0.54;11;0
223;"PicS";426.5;0.313;0.513;11;0
223;"PicS";426.5;0.331;0.531;11;0
223;"PicS";426.5;0.19;0.39;11;0
223;"PicS";426.5;1.086;1.286;11;0
223;"PicS";426.5;0.734;0.934;11;0
223;"PicS";426.5;0.521;0.721;11;0
223;"PicS";426.5;0.69;0.89;11;0
223;"PicS";426.5;0.314;0.514;11;0
223;"PicS";426.5;0.419;0.619;11;0
223;"PicS";426.5;0.425;0.625;11;0
223;"PicS";426.5;0.667;0.867;11;0
223;"PicS";426.5;0.336;0.536;11;0
223;"PicS";426.5;0.572;0.772;11;0
223;"PicS";426.5;0.565;0.765;11;0
223;"PicS";426.5;0.504;0.704;11;0
223;"PicS";426.5;0.654;0.854;11;0
223;"PicS";426.5;0.911;1.111;11;0
223;"PicS";426.5;0.48;0.68;11;0
223;"PicS";426.5;0.223;0.423;11;0
223;"PicS";426.5;0.3;0.5;11;0
223;"PicS";426.5;0.274;0.474;11;0
223;"PicS";426.5;0.535;0.735;11;0
223;"PicS";426.5;0.09;0.29;11;0
224;"PicS";426.5;0.168;0.368;11;0
224;"PicS";426.5;0.34;0.54;11;0
224;"PicS";426.5;0.313;0.513;11;0
224;"PicS";426.5;0.331;0.531;11;0
224;"PicS";426.5;0.19;0.39;11;0
224;"PicS";426.5;1.086;1.286;11;0
224;"PicS";426.5;0.734;0.934;11;0
224;"PicS";426.5;0.521;0.721;11;0
224;"PicS";426.5;0.69;0.89;11;0
224;"PicS";426.5;0.314;0.514;11;0
224;"PicS";426.5;0.419;0.619;11;0
224;"PicS";426.5;0.425;0.625;11;0
224;"PicS";426.5;0.667;0.867;11;0
224;"PicS";426.5;0.336;0.536;11;0
224;"PicS";426.5;0.572;0.772;11;0
224;"PicS";426.5;0.565;0.765;11;0
224;"PicS";426.5;0.504;0.704;11;0
224;"PicS";426.5;0.654;0.854;11;0
224;"PicS";426.5;0.911;1.111;11;0
224;"PicS";426.5;0.48;0.68;11;0
224;"PicS";426.5;0.223;0.423;11;0
224;"PicS";426.5;0.3;0.5;11;0
224;"PicS";426.5;0.274;0.474;11;0
224;"PicS";426.5;0.535;0.735;11;0
224;"PicS";426.5;0.09;0.29;11;0
225;"PicS";426.5;0.168;0.368;11;0
225;"PicS";426.5;0.34;0.54;11;0
225;"PicS";426.5;0.313;0.513;11;0
225;"PicS";426.5;0.331;0.531;11;0
225;"PicS";426.5;0.19;0.39;11;0
225;"PicS";426.5;1.086;1.286;11;0
225;"PicS";426.5;0.734;0.934;11;0
225;"PicS";426.5;0.521;0.721;11;0
225;"PicS";426.5;0.69;0.89;11;0
225;"PicS";426.5;0.314;0.514;11;0
225;"PicS";426.5;0.419;0.619;11;0
225;"PicS";426.5;0.425;0.625;11;0
225;"PicS";426.5;0.667;0.867;11;0
225;"PicS";426.5;0.336;0.536;11;0
225;"PicS";426.5;0.572;0.772;11;0
225;"PicS";426.5;0.565;0.765;11;0
225;"PicS";426.5;0.504;0.704;11;0
225;"PicS";426.5;0.654;0.854;11;0
225;"PicS";426.5;0.911;1.111;11;0
225;"PicS";426.5;0.48;0.68;11;0
225;"PicS";426.5;0.223;0.423;11;0
225;"PicS";426.5;0.3;0.5;11;0
225;"PicS";426.5;0.274;0.474;11;0
225;"PicS";426.5;0.535;0.735;11;0
225;"PicS";426.5;0.09;0.29;11;0
226;"PicS";426.5;0.168;0.368;11;0
226;"PicS";426.5;0.34;0.54;11;0
226;"PicS";426.5;0.313;0.513;11;0
226;"PicS";426.5;0.331;0.531;11;0
226;"PicS";426.5;0.19;0.39;11;0
226;"PicS";426.5;1.086;1.286;11;0
226;"PicS";426.5;0.734;0.934;11;0
226;"PicS";426.5;0.521;0.721;11;0
226;"PicS";426.5;0.69;0.89;11;0
226;"PicS";426.5;0.314;0.514;11;0
226;"PicS";426.5;0.419;0.619;11;0
226;"PicS";426.5;0.425;0.625;11;0
226;"PicS";426.5;0.667;0.867;11;0
226;"PicS";426.5;0.336;0.536;11;0
226;"PicS";426.5;0.572;0.772;11;0
226;"PicS";426.5;0.565;0.765;11;0
226;"PicS";426.5;0.504;0.704;11;0
226;"PicS";426.5;0.654;0.854;11;0
226;"PicS";426.5;0.911;1.111;11;0
226;"PicS";426.5;0.48;0.68;11;0
226;"PicS";426.5;0.223;0.423;11;0
226;"PicS";426.5;0.3;0.5;11;0
226;"PicS";426.5;0.274;0.474;11;0
226;"PicS";426.5;0.535;0.735;11;0
226;"PicS";426.5;0.09;0.29;11;0
227;"PicS";426.5;0.168;0.368;11;0
227;"PicS";426.5;0.34;0.54;11;0
227;"PicS";426.5;0.313;0.513;11;0
227;"PicS";426.5;0.331;0.531;11;0
227;"PicS";426.5;0.19;0.39;11;0
227;"PicS";426.5;1.086;1.286;11;0
227;"PicS";426.5;0.734;0.934;11;0
227;"PicS";426.5;0.521;0.721;11;0
227;"PicS";426.5;0.69;0.89;11;0
227;"PicS";426.5;0.314;0.514;11;0
227;"PicS";426.5;0.419;0.619;11;0
227;"PicS";426.5;0.425;0.625;11;0
227;"PicS";426.5;0.667;0.867;11;0
227;"PicS";426.5;0.336;0.536;11;0
227;"PicS";426.5;0.572;0.772;11;0
227;"PicS";426.5;0.565;0.765;11;0
227;"PicS";426.5;0.504;0.704;11;0
227;"PicS";426.5;0.654;0.854;11;0
227;"PicS";426.5;0.911;1.111;11;0
227;"PicS";426.5;0.48;0.68;11;0
227;"PicS";426.5;0.223;0.423;11;0
227;"PicS";426.5;0.3;0.5;11;0
227;"PicS";426.5;0.274;0.474;11;0
227;"PicS";426.5;0.535;0.735;11;0
227;"PicS";426.5;0.09;0.29;11;0
228;"PicS";426.5;0.168;0.368;11;0
228;"PicS";426.5;0.34;0.54;11;0
228;"PicS";426.5;0.313;0.513;11;0
228;"PicS";426.5;0.331;0.531;11;0
228;"PicS";426.5;0.19;0.39;11;0
228;"PicS";426.5;1.086;1.286;11;0
228;"PicS";426.5;0.734;0.934;11;0
228;"PicS";426.5;0.521;0.721;11;0
228;"PicS";426.5;0.69;0.89;11;0
228;"PicS";426.5;0.314;0.514;11;0
228;"PicS";426.5;0.419;0.619;11;0
228;"PicS";426.5;0.425;0.625;11;0
228;"PicS";426.5;0.667;0.867;11;0
228;"PicS";426.5;0.336;0.536;11;0
228;"PicS";426.5;0.572;0.772;11;0
228;"PicS";426.5;0.565;0.765;11;0
228;"PicS";426.5;0.504;0.704;11;0
228;"PicS";426.5;0.654;0.854;11;0
228;"PicS";426.5;0.911;1.111;11;0
228;"PicS";426.5;0.48;0.68;11;0
228;"PicS";426.5;0.223;0.423;11;0
228;"PicS";426.5;0.3;0.5;11;0
228;"PicS";426.5;0.274;0.474;11;0
228;"PicS";426.5;0.535;0.735;11;0
228;"PicS";426.5;0.09;0.29;11;0
229;"PicS";426.5;0.168;0.368;11;0
229;"PicS";426.5;0.34;0.54;11;0
229;"PicS";426.5;0.313;0.513;11;0
229;"PicS";426.5;0.331;0.531;11;0
229;"PicS";426.5;0.19;0.39;11;0
229;"PicS";426.5;1.086;1.286;11;0
229;"PicS";426.5;0.734;0.934;11;0
229;"PicS";426.5;0.521;0.721;11;0
229;"PicS";426.5;0.69;0.89;11;0
229;"PicS";426.5;0.314;0.514;11;0
229;"PicS";426.5;0.419;0.619;11;0
229;"PicS";426.5;0.425;0.625;11;0
229;"PicS";426.5;0.667;0.867;11;0
229;"PicS";426.5;0.336;0.536;11;0
229;"PicS";426.5;0.572;0.772;11;0
229;"PicS";426.5;0.565;0.765;11;0
229;"PicS";426.5;0.504;0.704;11;0
229;"PicS";426.5;0.654;0.854;11;0
229;"PicS";426.5;0.911;1.111;11;0
229;"PicS";426.5;0.48;0.68;11;0
229;"PicS";426.5;0.223;0.423;11;0
229;"PicS";426.5;0.3;0.5;11;0
229;"PicS";426.5;0.274;0.474;11;0
229;"PicS";426.5;0.535;0.735;11;0
229;"PicS";426.5;0.09;0.29;11;0
230;"PicS";426.5;0.168;0.368;11;0
230;"PicS";426.5;0.34;0.54;11;0
230;"PicS";426.5;0.313;0.513;11;0
230;"PicS";426.5;0.331;0.531;11;0
230;"PicS";426.5;0.19;0.39;11;0
230;"PicS";426.5;1.086;1.286;11;0
230;"PicS";426.5;0.734;0.934;11;0
230;"PicS";426.5;0.521;0.721;11;0
230;"PicS";426.5;0.69;0.89;11;0
230;"PicS";426.5;0.314;0.514;11;0
230;"PicS";426.5;0.419;0.619;11;0
230;"PicS";426.5;0.425;0.625;11;0
230;"PicS";426.5;0.667;0.867;11;0
230;"PicS";426.5;0.336;0.536;11;0
230;"PicS";426.5;0.572;0.772;11;0
230;"PicS";426.5;0.565;0.765;11;0
230;"PicS";426.5;0.504;0.704;11;0
230;"PicS";426.5;0.654;0.854;11;0
230;"PicS";426.5;0.911;1.111;11;0
230;"PicS";426.5;0.48;0.68;11;0
230;"PicS";426.5;0.223;0.423;11;0
230;"PicS";426.5;0.3;0.5;11;0
230;"PicS";426.5;0.274;0.474;11;0
230;"PicS";426.5;0.535;0.735;11;0
230;"PicS";426.5;0.09;0.29;11;0
231;"PicS";426.5;0.168;0.368;11;0
231;"PicS";426.5;0.34;0.54;11;0
231;"PicS";426.5;0.313;0.513;11;0
231;"PicS";426.5;0.331;0.531;11;0
231;"PicS";426.5;0.19;0.39;11;0
231;"PicS";426.5;1.086;1.286;11;0
231;"PicS";426.5;0.734;0.934;11;0
231;"PicS";426.5;0.521;0.721;11;0
231;"PicS";426.5;0.69;0.89;11;0
231;"PicS";426.5;0.314;0.514;11;0
231;"PicS";426.5;0.419;0.619;11;0
231;"PicS";426.5;0.425;0.625;11;0
231;"PicS";426.5;0.667;0.867;11;0
231;"PicS";426.5;0.336;0.536;11;0
231;"PicS";426.5;0.572;0.772;11;0
231;"PicS";426.5;0.565;0.765;11;0
231;"PicS";426.5;0.504;0.704;11;0
231;"PicS";426.5;0.654;0.854;11;0
231;"PicS";426.5;0.911;1.111;11;0
231;"PicS";426.5;0.48;0.68;11;0
231;"PicS";426.5;0.223;0.423;11;0
231;"PicS";426.5;0.3;0.5;11;0
231;"PicS";426.5;0.274;0.474;11;0
231;"PicS";426.5;0.535;0.735;11;0
231;"PicS";426.5;0.09;0.29;11;0
232;"PicS";426.5;0.168;0.368;11;0
232;"PicS";426.5;0.34;0.54;11;0
232;"PicS";426.5;0.313;0.513;11;0
232;"PicS";426.5;0.331;0.531;11;0
232;"PicS";426.5;0.19;0.39;11;0
232;"PicS";426.5;1.086;1.286;11;0
232;"PicS";426.5;0.734;0.934;11;0
232;"PicS";426.5;0.521;0.721;11;0
232;"PicS";426.5;0.69;0.89;11;0
232;"PicS";426.5;0.314;0.514;11;0
232;"PicS";426.5;0.419;0.619;11;0
232;"PicS";426.5;0.425;0.625;11;0
232;"PicS";426.5;0.667;0.867;11;0
232;"PicS";426.5;0.336;0.536;11;0
232;"PicS";426.5;0.572;0.772;11;0
232;"PicS";426.5;0.565;0.765;11;0
232;"PicS";426.5;0.504;0.704;11;0
232;"PicS";426.5;0.654;0.854;11;0
232;"PicS";426.5;0.911;1.111;11;0
232;"PicS";426.5;0.48;0.68;11;0
232;"PicS";426.5;0.223;0.423;11;0
232;"PicS";426.5;0.3;0.5;11;0
232;"PicS";426.5;0.274;0.474;11;0
232;"PicS";426.5;0.535;0.735;11;0
232;"PicS";426.5;0.09;0.29;11;0
233;"PicS";426.5;0.168;0.368;11;0
233;"PicS";426.5;0.34;0.54;11;0
233;"PicS";426.5;0.313;0.513;11;0
233;"PicS";426.5;0.331;0.531;11;0
233;"PicS";426.5;0.19;0.39;11;0
233;"PicS";426.5;1.086;1.286;11;0
233;"PicS";426.5;0.734;0.934;11;0
233;"PicS";426.5;0.521;0.721;11;0
233;"PicS";426.5;0.69;0.89;11;0
233;"PicS";426.5;0.314;0.514;11;0
233;"PicS";426.5;0.419;0.619;11;0
233;"PicS";426.5;0.425;0.625;11;0
233;"PicS";426.5;0.667;0.867;11;0
233;"PicS";426.5;0.336;0.536;11;0
233;"PicS";426.5;0.572;0.772;11;0
233;"PicS";426.5;0.565;0.765;11;0
233;"PicS";426.5;0.504;0.704;11;0
233;"PicS";426.5;0.654;0.854;11;0
233;"PicS";426.5;0.911;1.111;11;0
233;"PicS";426.5;0.48;0.68;11;0
233;"PicS";426.5;0.223;0.423;11;0
233;"PicS";426.5;0.3;0.5;11;0
233;"PicS";426.5;0.274;0.474;11;0
233;"PicS";426.5;0.535;0.735;11;0
233;"PicS";426.5;0.09;0.29;11;0
234;"PicS";426.5;0.168;0.368;11;0
234;"PicS";426.5;0.34;0.54;11;0
234;"PicS";426.5;0.313;0.513;11;0
234;"PicS";426.5;0.331;0.531;11;0
234;"PicS";426.5;0.19;0.39;11;0
234;"PicS";426.5;1.086;1.286;11;0
234;"PicS";426.5;0.734;0.934;11;0
234;"PicS";426.5;0.521;0.721;11;0
234;"PicS";426.5;0.69;0.89;11;0
234;"PicS";426.5;0.314;0.514;11;0
234;"PicS";426.5;0.419;0.619;11;0
234;"PicS";426.5;0.425;0.625;11;0
234;"PicS";426.5;0.667;0.867;11;0
234;"PicS";426.5;0.336;0.536;11;0
234;"PicS";426.5;0.572;0.772;11;0
234;"PicS";426.5;0.565;0.765;11;0
234;"PicS";426.5;0.504;0.704;11;0
234;"PicS";426.5;0.654;0.854;11;0
234;"PicS";426.5;0.911;1.111;11;0
234;"PicS";426.5;0.48;0.68;11;0
234;"PicS";426.5;0.223;0.423;11;0
234;"PicS";426.5;0.3;0.5;11;0
234;"PicS";426.5;0.274;0.474;11;0
234;"PicS";426.5;0.535;0.735;11;0
234;"PicS";426.5;0.09;0.29;11;0
235;"PicS";426.5;0.168;0.368;11;0
235;"PicS";426.5;0.34;0.54;11;0
235;"PicS";426.5;0.313;0.513;11;0
235;"PicS";426.5;0.331;0.531;11;0
235;"PicS";426.5;0.19;0.39;11;0
235;"PicS";426.5;1.086;1.286;11;0
235;"PicS";426.5;0.734;0.934;11;0
235;"PicS";426.5;0.521;0.721;11;0
235;"PicS";426.5;0.69;0.89;11;0
235;"PicS";426.5;0.314;0.514;11;0
235;"PicS";426.5;0.419;0.619;11;0
235;"PicS";426.5;0.425;0.625;11;0
235;"PicS";426.5;0.667;0.867;11;0
235;"PicS";426.5;0.336;0.536;11;0
235;"PicS";426.5;0.572;0.772;11;0
235;"PicS";426.5;0.565;0.765;11;0
235;"PicS";426.5;0.504;0.704;11;0
235;"PicS";426.5;0.654;0.854;11;0
235;"PicS";426.5;0.911;1.111;11;0
235;"PicS";426.5;0.48;0.68;11;0
235;"PicS";426.5;0.223;0.423;11;0
235;"PicS";426.5;0.3;0.5;11;0
235;"PicS";426.5;0.274;0.474;11;0
235;"PicS";426.5;0.535;0.735;11;0
235;"PicS";426.5;0.09;0.29;11;0
236;"PicS";426.5;0.168;0.368;11;0
236;"PicS";426.5;0.34;0.54;11;0
236;"PicS";426.5;0.313;0.513;11;0
236;"PicS";426.5;0.331;0.531;11;0
236;"PicS";426.5;0.19;0.39;11;0
236;"PicS";426.5;1.086;1.286;11;0
236;"PicS";426.5;0.734;0.934;11;0
236;"PicS";426.5;0.521;0.721;11;0
236;"PicS";426.5;0.69;0.89;11;0
236;"PicS";426.5;0.314;0.514;11;0
236;"PicS";426.5;0.419;0.619;11;0
236;"PicS";426.5;0.425;0.625;11;0
236;"PicS";426.5;0.667;0.867;11;0
236;"PicS";426.5;0.336;0.536;11;0
236;"PicS";426.5;0.572;0.772;11;0
236;"PicS";426.5;0.565;0.765;11;0
236;"PicS";426.5;0.504;0.704;11;0
236;"PicS";426.5;0.654;0.854;11;0
236;"PicS";426.5;0.911;1.111;11;0
236;"PicS";426.5;0.48;0.68;11;0
236;"PicS";426.5;0.223;0.423;11;0
236;"PicS";426.5;0.3;0.5;11;0
236;"PicS";426.5;0.274;0.474;11;0
236;"PicS";426.5;0.535;0.735;11;0
236;"PicS";426.5;0.09;0.29;11;0
237;"PicS";426.5;0.168;0.368;11;0
237;"PicS";426.5;0.34;0.54;11;0
237;"PicS";426.5;0.313;0.513;11;0
237;"PicS";426.5;0.331;0.531;11;0
237;"PicS";426.5;0.19;0.39;11;0
237;"PicS";426.5;1.086;1.286;11;0
237;"PicS";426.5;0.734;0.934;11;0
237;"PicS";426.5;0.521;0.721;11;0
237;"PicS";426.5;0.69;0.89;11;0
237;"PicS";426.5;0.314;0.514;11;0
237;"PicS";426.5;0.419;0.619;11;0
237;"PicS";426.5;0.425;0.625;11;0
237;"PicS";426.5;0.667;0.867;11;0
237;"PicS";426.5;0.336;0.536;11;0
237;"PicS";426.5;0.572;0.772;11;0
237;"PicS";426.5;0.565;0.765;11;0
237;"PicS";426.5;0.504;0.704;11;0
237;"PicS";426.5;0.654;0.854;11;0
237;"PicS";426.5;0.911;1.111;11;0
237;"PicS";426.5;0.48;0.68;11;0
237;"PicS";426.5;0.223;0.423;11;0
237;"PicS";426.5;0.3;0.5;11;0
237;"PicS";426.5;0.274;0.474;11;0
237;"PicS";426.5;0.535;0.735;11;0
237;"PicS";426.5;0.09;0.29;11;0
238;"PicS";426.5;0.168;0.368;11;0
238;"PicS";426.5;0.34;0.54;11;0
238;"PicS";426.5;0.313;0.513;11;0
238;"PicS";426.5;0.331;0.531;11;0
238;"PicS";426.5;0.19;0.39;11;0
238;"PicS";426.5;1.086;1.286;11;0
238;"PicS";426.5;0.734;0.934;11;0
238;"PicS";426.5;0.521;0.721;11;0
238;"PicS";426.5;0.69;0.89;11;0
238;"PicS";426.5;0.314;0.514;11;0
238;"PicS";426.5;0.419;0.619;11;0
238;"PicS";426.5;0.425;0.625;11;0
238;"PicS";426.5;0.667;0.867;11;0
238;"PicS";426.5;0.336;0.536;11;0
238;"PicS";426.5;0.572;0.772;11;0
238;"PicS";426.5;0.565;0.765;11;0
238;"PicS";426.5;0.504;0.704;11;0
238;"PicS";426.5;0.654;0.854;11;0
238;"PicS";426.5;0.911;1.111;11;0
238;"PicS";426.5;0.48;0.68;11;0
238;"PicS";426.5;0.223;0.423;11;0
238;"PicS";426.5;0.3;0.5;11;0
238;"PicS";426.5;0.274;0.474;11;0
238;"PicS";426.5;0.535;0.735;11;0
238;"PicS";426.5;0.09;0.29;11;0
239;"PicS";426.5;0.168;0.368;11;0
239;"PicS";426.5;0.34;0.54;11;0
239;"PicS";426.5;0.313;0.513;11;0
239;"PicS";426.5;0.331;0.531;11;0
239;"PicS";426.5;0.19;0.39;11;0
239;"PicS";426.5;1.086;1.286;11;0
239;"PicS";426.5;0.734;0.934;11;0
239;"PicS";426.5;0.521;0.721;11;0
239;"PicS";426.5;0.69;0.89;11;0
239;"PicS";426.5;0.314;0.514;11;0
239;"PicS";426.5;0.419;0.619;11;0
239;"PicS";426.5;0.425;0.625;11;0
239;"PicS";426.5;0.667;0.867;11;0
239;"PicS";426.5;0.336;0.536;11;0
239;"PicS";426.5;0.572;0.772;11;0
239;"PicS";426.5;0.565;0.765;11;0
239;"PicS";426.5;0.504;0.704;11;0
239;"PicS";426.5;0.654;0.854;11;0
239;"PicS";426.5;0.911;1.111;11;0
239;"PicS";426.5;0.48;0.68;11;0
239;"PicS";426.5;0.223;0.423;11;0
239;"PicS";426.5;0.3;0.5;11;0
239;"PicS";426.5;0.274;0.474;11;0
239;"PicS";426.5;0.535;0.735;11;0
