"stand_id";"species";"count";"height_from";"height_to";"age"
118;"Pico";24;0.581;0.781;11
118;"Pico";24;0.5;0.7;11
118;"Pico";24;1.965;2.165;11
118;"Pico";24;0.456;0.656;11
118;"Pico";24;1.028;1.228;11
118;"Pico";24;1.086;1.286;11
118;"Pico";24;1.248;1.448;11
118;"Pico";24;1.272;1.472;11
118;"Pico";24;0.835;1.035;11
118;"Pico";24;0.637;0.837;11
118;"Pico";24;0.728;0.928;11
118;"Pico";24;0.845;1.045;11
118;"Pico";24;0.162;0.362;11
118;"Pico";24;1.605;1.805;11
118;"Pico";24;0.573;0.773;11
118;"Pico";24;0.319;0.519;11
119;"Pico";24;1.998;2.198;11
119;"Pico";24;0.19;0.39;11
119;"Pico";24;1.423;1.623;11
119;"Pico";24;1.117;1.317;11
119;"Pico";24;1.89;2.09;11
119;"Pico";24;0.89;1.09;11
119;"Pico";24;0.919;1.119;11
119;"Pico";24;0.962;1.162;11
119;"Pico";24;0.82;1.02;11
119;"Pico";24;0.581;0.781;11
119;"Pico";24;0.5;0.7;11
119;"Pico";24;1.965;2.165;11
119;"Pico";24;0.456;0.656;11
119;"Pico";24;1.028;1.228;11
119;"Pico";24;1.086;1.286;11
119;"Pico";24;1.248;1.448;11
119;"Pico";24;1.272;1.472;11
119;"Pico";24;0.835;1.035;11
119;"Pico";24;0.637;0.837;11
119;"Pico";24;0.728;0.928;11
119;"Pico";24;0.845;1.045;11
119;"Pico";24;0.162;0.362;11
119;"Pico";24;1.605;1.805;11
119;"Pico";24;0.573;0.773;11
119;"Pico";24;0.319;0.519;11
120;"Pico";24;1.998;2.198;11
120;"Pico";24;0.19;0.39;11
120;"Pico";24;1.423;1.623;11
120;"Pico";24;1.117;1.317;11
120;"Pico";24;1.89;2.09;11
120;"Pico";24;0.89;1.09;11
120;"Pico";24;0.919;1.119;11
120;"Pico";24;0.962;1.162;11
120;"Pico";24;0.82;1.02;11
120;"Pico";24;0.581;0.781;11
120;"Pico";24;0.5;0.7;11
120;"Pico";24;1.965;2.165;11
120;"Pico";24;0.456;0.656;11
120;"Pico";24;1.028;1.228;11
120;"Pico";24;1.086;1.286;11
120;"Pico";24;1.248;1.448;11
120;"Pico";24;1.272;1.472;11
120;"Pico";24;0.835;1.035;11
120;"Pico";24;0.637;0.837;11
120;"Pico";24;0.728;0.928;11
120;"Pico";24;0.845;1.045;11
120;"Pico";24;0.162;0.362;11
120;"Pico";24;1.605;1.805;11
120;"Pico";24;0.573;0.773;11
120;"Pico";24;0.319;0.519;11
